EventName,CharacterName,Text,Address,IsEnabled,Shake,Bounce
진 잡기 실패,쉔,우산! 진을 잡았어,TempShen_normal,,,
-,우산,같이 하니까 쉽네. 잡았다 요놈!,Usan_happy,,,
-,진,ㅋ,Jhin_normal,,,
-,우산,이 살인마 새끼 실실 쪼개는게 기분이 매우 나쁩니다.\n쿠쇼 사부님! 어서 이놈을 죽이십시오!,Usan_angry,,,
-,쿠쇼,ㄴㄴ 진은 인간이고 인간을 죽이는건 킨코우의 교리에 어긋난다.,Kusho_normal,,,
-,우산,ㅅㅂ 제정신? 나 집나갈거임 ㅂㅂ,Usan_angry,,,
-,쉔,아니 우산! 돌아와!,TempShen_normal,,,
-,쿠쇼,천한 이름 대신 개 간지나는 이름도 주고 차기 황혼의 눈 자리도 줬는데! 고얀것!,Kusho_normal,,,
-,우산,쒸익쒸익(킨코우를 나간다),Usan_angry,,,
End,,,,,,
우산따윈 필요없다,제드,(우산이 집나가고 몇 년 후),Zed_normal,,,
-,제드,쿠쇼 사부님! 녹서스 때문에 무고한 사람들이 죽어나가고 있습니다.,Zed_normal,,,
-,쿠쇼,ㄴㄴ 그건 균형을 맞춰가는 과정이다 우산. 우리가 관여할일이 아니다.,Kusho_normal,,,
-,제드,그림자 눈물 내놓으십시오. 아이오니아를 지켜야 합니다. 그리고 전 이제 우산이 아니라 제드입니다.,Zed_normal,,,
-,쿠쇼,그림자 마법이 금지된 것에는 이유가 있는거다!\n그리고 그런 중2스러운 이름은 집어치우고 다시 우산으로 돌아와라!,Kusho_normal,,,
-,제드,참을만큼 참았다 이쉐끼야,Zed_normal,,,
-,제드,(피 묻은 검과 그림자의 눈물이 담긴 상자를 들고 킨코우 사원을 나온다),Zed_normal,,,
-,제드,쿠쇼는 죽었다! 나를 따르라!,Zed_normal,,,
End,,,,,,
날강도와의 만남,이름모를 날강도,(서성서성 부시럭부시럭),-,FALSE,,
-,제드,음? 누구지?,Zed_normal,,,
-,강해보이는 날강도,안녕하신가!,Talon_normal,,,
-,제드,처음보는 얼굴인데. 무슨 용건인가.,Zed_normal,,,
-,강해보이는 날강도,어이 형씨. 가진거 다 내놔.,Talon_normal,,,
-,제드,(어이털림)\n감히 나한테 덤비는건가?,Zed_normal,,,
-,강해보이는 날강도,강해봤자 이 탈론님한테는 안되지. 내가 제일 아끼는 칼이다.,Talon_normal,,,
-,제드,귀찮군…,Zed_normal,,,
-,제드,그림자 베기!,Zed_normal,,,
-,탈론,어어엌,Talon_normal,,TRUE,
-,제드,그림자 표창!,Zed_normal,,,
-,탈론,우어엌,Talon_normal,,TRUE,
-,탈론,"형씨, 내가 너무 얕잡아봤군. 그럼 난 이만!",Talon_normal,,,
-,탈론,(궁극기를 쓰며 튄다),-,FALSE,,
-,제드,야레야레,Zed_normal,,,
End,,,,,,
